questions,lang
the previous municipality from which this one has been created or enlarged,en
Has KML data associated with it (usually because of KML overlays),en
String designation of the WrittenWork describing the resource,en
"percentage of a place's population that is literate, degree of analphabetism",en
Link from a Wikipage to a Wikipage in a different language about the same or a related subject.,en
ancient area of jurisdiction of a person (feudal) or of a governmental body,en
A Person's role in an event,en
ACT score,en
AFI Award,en
ATC prefix,en
ATC suffix,en
ATC supplemental,en
Academy Award,en
Aggregation,en
Allocine ID,en
Alps SOIUSA code,en
Alps group,en
Alps main part,en
Alps major sector,en
Alps section,en
Alps subgroup,en
Alps subsection,en
Alps supergroup,en
American Comedy Award,en
Amsterdam Code,en
Anime,en
Annotation,en
Archer Player,en
Archive,en
Area,en
Ariel Award,en
ArtificialSatellite,en
Aspect Ratio,en
Australian rules football player,en
BAFTA Award,en
BIBSYS Id,en
BNF Id,en
BPN Id,en
Band,en
Believers,en
Biathlete,en
Bioavailability,en
Biological database,en
Biomolecule,en
Blazon,en
Blazon caption,en
BobsleighAthlete,en
British Comedy Awards,en
British royalty,en
CAS number,en
CAS supplemental,en
CMP EVA duration (s),en
CMP EVA duration (ω),en
CO2 emission (g/km),en
CODEN,en
COSPAR id,en
CPU,en
CalculationNeeds,en
Capital,en
Capital of region,en
Cardinal direction,en
Caterer,en
Ceremonial County,en
Cesar Award,en
ChEBI,en
Character size of wiki page,en
Christian Bishop,en
Christian Doctrine,en
Christian Patriarch,en
City district code,en
Comedy Group,en
Community,en
Computing Media,en
Computing input,en
Concentration camp,en
Contains a WikiText representation of this thing,en
Controlled designation of origin wine,en
Council area,en
Cover artist,en
Currency,en
DTM racer,en
Database,en
Date Last Updated,en
Density,en
Desert,en
Dewey Decimal Classification,en
DfE,en
Different usage of an airport,en
Digital Library code NL,en
Document Type,en
Dorlands prefix,en
Dorlands suffix,en
DrugBank,en
Dutch COROP code,en
Dutch PPN code,en
Dutch RKD code,en
Dutch artwork code,en
EC number,en
EINECS number,en
EKATTE code,en
ELO rating,en
ESPN id,en
Election,en
Election Diagram,en
ElectricCurrent,en
Emmy Award,en
Employer,en
Employers' Organisation,en
Energy,en
EntrezGene,en
Established,en
Establishment,en
Eurovision song contest entry,en
FAA Location Identifier,en
FC,en
FC runs,en
FDA UNII code,en
International Standard Identifier for Libraries and Related Organizations (ISIL),en
Film Fare Award,en
FilmPolski.pl id,en
FlowRate,en
Food,en
Footedness,en
Force,en
Formula One racer,en
Frequency,en
FuelEfficiency,en
Gaelic games player,en
Game Engine,en
Gated community,en
Gaudí Award,en
Gemini Award,en
Gene Location,en
GeneLocation,en
Genome DB,en
Globular Swarm,en
Gnetophytes,en
Golden Calf Award,en
Golden Globe Award,en
Golden Raspberry Award,en
Government Type,en
Goya Award,en
Grammy Award,en
Grand Prix,en
Gray page,en
Gray subject,en
Indicates an annotation associated with this document,en
HGNCid,en
Historical country,en
Historical district,en
Historical province,en
Historical region,en
Historical settlement,en
Hormone,en
HorseRiding,en
Human Development Index (HDI),en
HumanGene,en
HumanGeneLocation,en
IATA Location Identifier,en
IATA code,en
IBDB ID,en
ICAO Location Identifier,en
ICAO code,en
ICD1,en
ICD10,en
ICD9,en
ICDO,en
IFTA Award,en
IMDB id,en
INN,en
INSEE code,en
IOBDB ID,en
ISBN,en
ISNI Id,en
ISO 3166-1 code,en
ISO 639-1 code,en
ISO 639-2 code,en
ISO 639-3 code,en
ISO region code,en
IUPAC name,en
Identifier for Duch National Archive,en
InformationUnit,en
Instrument,en
Intercommunality,en
JSTOR,en
mandate of the president council of the regional council,en
LCC,en
LCCN,en
LCCN Id,en
Laurence Olivier Award,en
Lawyer,en
Legal Case,en
Length,en
Library of Congress Control Number,en
Lieutenancy area,en
LinearMassDensity,en
Link from a Wikipage to an external page,en
Link from a Wikipage to another Wikipage,en
Link to the Wikipage edit URL,en
Link to the Wikipage history URL,en
Link to the Wikipage revision URL,en
Location Identifier,en
MBA Id,en
Mass,en
Mathematical concept,en
MeSH ID,en
MeSH name,en
MeSH number,en
Medicine,en
MedlinePlus,en
Member of Parliament,en
Member of a Resistance Movement,en
Messier name,en
Method of discovery,en
Mill,en
Modus the game can be played in,en
MouseGene,en
MouseGeneLocation,en
Movie director,en
Music Band,en
NAACP Image Award,en
NDL id,en
NGC name,en
NIS code,en
NLA Id,en
NNDB id,en
NRHP Reference Number,en
NRHP type,en
NSSDC ID,en
NUTS code,en
National Film Award,en
National Olympic Committee,en
National Topographic System map number,en
National anthem,en
Native Resolution,en
Nobel Prize,en
Noble family,en
Nordic Combined,en
Nuclear Power plant,en
Number Of Cantons,en
Number Of Capital Deputies,en
Number Of Federal Deputies,en
Number Of Municipalities,en
Number Of State Deputies,en
Number of votes given to candidate,en
Number of votes in favour of the resolution,en
OCLC,en
OMIM id,en
ORCID Id,en
Ocean,en
Olivier Award,en
Open Swarm,en
Ordination,en
Organisation member,en
Orthologous Gene,en
PDB ID,en
Painting,en
Parents Wedding Date,en
Peabody Award,en
Penalties Team A,en
Penalties Team B,en
Philosophical concept,en
Place in the Music Charts,en
Playboy Playmate,en
Playwright,en
Polish Film Award,en
Political concept,en
Polyhedron,en
PopulationDensity,en
Port,en
Power,en
Pressure,en
Primite,en
Producer,en
PubChem,en
Publishing company,en
Pyramid,en
Quote,en
RID Id,en
RKDartists id,en
Radius_ly,en
Ratio,en
Record Office,en
RefSeq,en
Reference,en
Registered at Stock Exchange,en
Relationship,en
Resume,en
SAT score,en
SELIBR Id,en
SIL code,en
SIMC code,en
SMILES,en
SUDOC id,en
Satellite,en
Scientific concept,en
Screen Actors Guild Award,en
Sculpture,en
Singer,en
Site of Special Scientific Interest,en
Speed,en
Sports team member,en
Stadium,en
Stated Resolution,en
Supreme Court of the United States case,en
Swarm,en
Swimming style,en
Symbol,en
System of law,en
TERYT code,en
Team member,en
Television director,en
Temperature,en
Temporary Placement in the Music Charts,en
The IUPAC International Chemical Identifier,en
The URL at which this file can be downloaded,en
The extension of this file,en
Theatre director,en
Theological concept,en
Theology,en
Time,en
Tony Award,en
Torque,en
TradeMark,en
Treadmill,en
UCI code,en
ULAN id,en
UN/LOCODE,en
US sales,en
UTC offset,en
UniProt,en
United States National Bridge ID,en
Unknown,en
VIAF Id,en
V_hb,en
Voltage,en
Volume,en
Votes against the resolution,en
Water tower,en
Watermill,en
Wiki page in degree,en
Wiki page out degree,en
Wikidata IRI slit,en
Wikipage disambiguates,en
Wikipage modification datetime,en
Wikipage page ID,en
Wikipage redirect,en
Wikipage revision ID,en
Wind motor,en
Windmill,en
WoRMS,en
Women's Tennis Association tournament,en
World Heritage Site,en
World Register of Marine Species,en
"percentage of a place's male population that is literate, degree of analphabetism",en
a municipality's new name,en
a municipality's present name,en
a side,en
abbey,en
abbey church blessing,en
abbey church blessing charge,en
abbreviation,en
able to grind,en
absolute magnitude,en
absorbed by,en
abstentions,en
academic advisor,en
academic conference,en
academic discipline,en
academic journal,en
academic subject,en
acceleration (s),en
access,en
access date,en
achievement,en
acre,en
acting headteacher,en
active years,en
active years end date,en
active years end date manager,en
active years end year,en
active years end year manager,en
active years start date,en
active years start date manager,en
active years start year,en
active years start year manager,en
activity,en
actor,en
added,en
address,en
address in road,en
adjacent settlement of a switzerland settlement,en
administrative center,en
administrative collectivity,en
administrative district,en
administrative region,en
administrative status,en
administrator,en
adult (pornographic) actor,en
afdb id,en
affair,en
affiliate,en
affiliation,en
afghanAfghani,en
age,en
age range,en
agency,en
agency station code,en
agent,en
agglomeration,en
agglomeration area,en
agglomeration demographics,en
agglomeration population,en
agglomeration population total,en
agglomerationPopulationYear,en
aircraft,en
aircraft attack,en
aircraft bomber,en
aircraft electronic,en
aircraft fighter,en
aircraft gun,en
aircraft helicopter,en
aircraft helicopter attack,en
aircraft helicopter cargo,en
aircraft helicopter multirole,en
aircraft helicopter observation,en
aircraft helicopter transport,en
aircraft helicopter utility,en
aircraft interceptor,en
aircraft patrol,en
aircraft recon,en
aircraft trainer,en
aircraft transport,en
aircraft type,en
aircraft user,en
airdate,en
airline,en
airport,en
aita code,en
albanianLek,en
albedo,en
album,en
album duration (s),en
algerianDinar,en
alias,en
allcinema id,en
allegiance,en
alliance,en
alma mater,en
alongside,en
alternative name,en
alternative title,en
altitude,en
alumni,en
amateur boxer,en
amateur defeat,en
amateur fight,en
amateur ko,en
amateur no contest,en
amateur team,en
amateur tie,en
amateur title,en
amateur victory,en
amateur year,en
ambassador,en
american football Team,en
american football coach,en
american football league,en
